house car land income mate class
0 3 4 21656 1 0
3 3 3 42758 0 2
3 3 4 86605 0 2
2 0 1 19761 0 0
4 2 4 90593 1 3
2 3 0 -46407 1 0
4 0 3 -48575 0 2
1 2 4 -982 0 0
4 4 2 2554 1 3
0 4 4 50351 0 0
1 3 3 -18847 0 0
0 3 2 41319 0 0
1 1 3 49675 0 0
4 1 4 73608 1 3
4 4 2 -24478 1 3
2 4 3 422 1 0
3 0 3 -40125 1 3
1 2 4 49754 1 1
3 0 2 -39938 1 1
0 2 1 22942 1 0
4 3 2 21548 0 2
0 1 0 -23728 0 0
0 1 1 11069 1 0
4 1 3 82323 1 3
2 1 1 42259 0 0
0 4 1 -48150 1 0
1 1 3 4963 1 0
3 1 2 -45464 1 1
3 2 4 -8164 0 2
4 0 0 39817 0 1
1 4 3 -35759 0 0
1 0 3 46186 0 0
3 2 2 86878 0 1
0 2 3 51810 0 0
0 0 0 36310 1 0
1 0 3 -47019 1 0
4 3 4 -30094 1 3
2 1 2 60714 1 1
2 2 1 -24990 1 0
1 3 4 -39375 0 0
0 3 4 46606 0 0
1 0 0 83868 1 1
2 4 2 95455 1 1
3 2 1 26601 0 1
4 0 1 -32144 0 1
0 2 1 26827 0 0
3 1 1 81050 0 1
2 0 3 83770 0 0
3 3 1 -32230 0 2
0 3 2 1619 1 0
1 1 3 -22817 1 0
1 1 1 85074 0 0
3 4 0 -37686 0 2
2 4 0 86433 1 1
3 2 2 39137 0 1
1 4 4 35815 1 0
2 3 0 51294 0 0
4 4 2 83811 1 3
4 1 2 5246 0 1
3 0 0 -34671 1 1
1 3 3 -28043 1 0
1 3 4 -31050 1 0
3 4 4 27778 0 2
4 3 4 87665 0 2
3 3 2 90232 0 2
1 2 1 39434 0 0
2 1 2 -2303 1 0
2 4 1 85079 0 0
3 1 1 8695 1 1
1 3 4 13793 0 0
4 3 2 51781 1 3
2 2 3 -8717 1 0
2 4 3 -14712 1 0
3 2 1 97908 0 1
0 1 4 74474 1 1
3 1 1 24286 0 1
4 2 0 56404 0 1
3 2 1 59703 0 1
0 2 3 8314 0 0
4 2 1 36279 1 1
1 1 1 51855 0 0
1 0 1 -38670 0 0
3 4 3 -23918 1 3
4 0 1 4840 1 1
2 1 4 66798 1 1
2 3 1 -45781 1 0
4 2 0 23429 1 1
1 2 0 64421 0 0
2 4 4 48320 1 1
4 4 0 39599 1 3
4 4 2 -41354 1 3
3 4 4 -22995 0 2
4 3 4 -15362 1 3
4 3 3 27280 0 2
0 1 2 -23946 0 0
3 3 1 29676 0 2
3 2 2 44750 1 1
4 1 4 77417 0 2
1 4 4 -14513 1 0
1 4 3 47754 1 1
0 1 4 -38609 0 0
1 3 1 20383 0 0
0 1 2 -49556 0 0
1 0 4 64172 0 0
3 3 3 3748 0 2
3 4 3 23452 0 2
1 2 2 -5491 0 0
0 2 1 16997 1 0
0 4 3 12590 0 0
1 4 0 62150 0 0
2 4 3 -45557 1 0
0 2 0 872 1 0
3 0 3 14325 1 3
0 4 2 11900 1 0
3 1 0 32549 0 1
4 0 4 -26401 1 3
0 1 2 37368 1 0
1 2 2 77572 0 0
1 3 4 69798 0 0
4 3 4 68787 0 2
0 0 1 15055 1 0
2 3 3 -13243 1 0
2 0 4 -12169 0 0
1 2 4 5294 0 0
4 0 3 -12344 0 2
1 0 4 15748 1 0
3 1 2 34005 1 1
4 4 4 38649 1 3
2 4 0 68419 0 0
2 2 4 -47941 0 0
0 2 4 -23421 0 0
0 4 2 16433 0 0
2 4 0 33140 0 0
3 0 1 -44726 1 1
0 1 1 46479 1 1
1 3 4 15376 0 0
0 1 1 -32680 0 0
0 2 0 -4085 1 0
1 4 1 39265 1 0
1 0 2 47695 0 0
0 4 4 -22498 0 0
3 3 4 40927 1 3
2 1 3 99025 0 0
0 4 0 -6890 1 0
3 4 3 70666 1 3
1 3 4 70016 0 0
0 3 2 83201 0 0
0 1 0 72766 0 0
4 4 1 65692 0 2
4 3 0 -46615 1 3
3 0 3 86778 0 2
2 3 1 46343 0 0
1 0 4 -8004 0 0
0 1 3 -46195 1 0
3 4 0 -35926 1 3
4 1 2 83372 1 1
3 4 3 -2085 0 2
2 2 1 12059 0 0
0 1 0 2546 1 0
3 1 3 92949 1 3
1 1 2 -33242 1 0
1 1 1 -34963 1 0
0 2 4 23768 1 0
1 1 3 -38614 1 0
2 0 2 12644 0 0
2 0 3 70293 0 0
0 1 2 92943 1 1
1 0 3 70591 1 1
3 4 1 92946 1 3
3 2 4 -10654 1 3
2 4 0 -2531 0 0
1 3 4 -14212 1 0
4 4 4 38870 1 3
0 3 4 79918 1 1
1 3 3 -33336 0 0
4 0 4 -18516 1 3
2 0 4 26080 0 0
3 0 0 87834 0 1
4 3 4 98390 0 2
4 3 3 6429 1 3
4 4 4 79939 0 2
4 0 2 13291 0 1
3 3 2 -3411 1 3
3 0 3 -48616 0 2
0 3 3 92821 0 0
2 2 2 -20978 1 0
2 2 3 28950 0 0
4 0 0 56958 0 1
2 0 2 -486 1 0
2 3 1 20003 0 0
3 3 2 61097 0 2
3 4 3 99208 0 2
4 0 1 86285 0 1
4 0 4 93902 1 3
1 3 3 94084 0 0
3 2 1 -36381 1 1
3 1 1 -26206 0 1
0 0 0 60075 1 1
0 3 3 23980 1 0
3 3 2 -32618 0 2
1 4 4 27488 0 0
2 1 3 96119 1 1
1 1 1 16656 0 0
2 2 0 -22048 1 0
3 0 3 -2492 0 2
1 1 4 64147 0 0
4 4 1 -41317 0 2
1 4 4 84713 1 1
1 2 0 21221 0 0
1 1 0 82283 1 1
2 4 0 -36015 0 0
3 3 2 61913 1 3
3 2 1 80935 1 1
2 0 2 13347 1 0
1 3 2 -32835 1 0
1 1 0 15533 1 0
0 4 2 -2616 1 0
4 1 1 73979 1 1
4 0 4 43635 0 2
4 1 1 -21313 1 1
0 0 4 -4088 0 0
0 4 1 40459 0 0
1 1 1 -18212 0 0
0 2 0 76998 0 0
4 1 4 24926 0 2
4 4 0 75648 0 2
2 2 1 39454 0 0
2 0 4 89545 1 1
3 0 0 45298 1 1
3 4 3 -45220 1 3
2 2 4 94470 1 1
0 0 4 -26443 0 0
0 1 4 -48100 0 0
2 4 2 74529 1 1
4 0 0 99003 1 1
2 1 4 46208 1 1
1 3 2 -2488 1 0
4 2 4 48004 1 3
4 2 1 52050 1 1
2 2 0 14421 0 0
4 2 2 -4368 1 1
4 2 0 1205 0 1
2 2 3 16243 0 0
2 3 1 10104 1 0
3 2 1 6744 0 1
1 0 3 -40264 1 0
0 2 1 90729 0 0
0 1 4 -28929 1 0
2 1 0 19596 0 0
1 1 3 -23815 0 0
4 1 3 -12757 0 2
2 1 2 -34439 1 0
4 1 2 39406 0 1
0 2 2 60995 0 0
3 0 3 39055 1 3
2 0 3 14065 1 0
2 3 1 -3328 0 0
0 2 2 18191 0 0
1 2 4 23570 0 0
1 2 3 8544 1 0
0 4 0 -22275 0 0
4 0 1 82307 1 1
4 4 2 95254 1 3
3 2 0 25598 0 1
2 2 0 99701 1 1
3 3 0 12099 1 3
2 3 1 -37777 1 0
0 0 0 96690 0 0
3 2 2 5274 1 1
4 3 4 -10182 1 3
3 3 2 92814 1 3
2 3 4 -33810 0 0
3 4 0 29885 0 2
1 3 0 86067 0 0
4 0 0 90942 1 1
0 1 1 17088 1 0
1 3 0 84932 1 1
1 1 4 -13687 1 0
3 3 0 68738 0 2
4 3 2 -16146 1 3
2 3 0 96576 0 0
4 2 4 57464 0 2
4 2 3 41443 0 2
3 3 4 57419 1 3
2 3 4 9108 1 0
0 3 2 -48892 1 0
1 1 4 -20428 1 0
3 1 1 -15296 1 1
1 4 3 10523 0 0
0 0 1 -45512 1 0
2 1 2 55537 1 1
1 4 4 21850 0 0
3 0 4 13803 1 3
0 1 4 -30866 0 0
2 4 4 39849 0 0
1 0 0 64082 1 1
4 1 0 12694 1 1
4 4 4 38261 1 3
0 3 4 63622 0 0
2 1 4 76152 0 0
2 4 2 -35475 1 0
2 3 4 -6400 1 0
3 4 2 15619 0 2
1 0 4 98418 1 1
1 2 0 79462 1 1
3 1 4 41129 0 2
2 3 0 44227 1 1
4 2 0 22136 1 1
2 4 3 77113 0 0
3 4 3 98867 1 3
4 2 0 -17875 1 1
0 0 4 23471 1 0
1 3 2 -12292 0 0
0 3 1 95892 1 1
2 3 4 2563 1 0
3 2 3 72733 0 2
1 4 2 -36857 1 0
3 0 3 -3311 0 2
3 2 3 94352 1 3
3 0 0 -49000 0 1
2 2 0 -7203 1 0
1 1 2 58793 0 0
1 3 2 51437 1 1
1 1 2 38787 0 0
3 4 4 -22959 0 2
1 4 2 50677 0 0
4 4 4 47331 1 3
1 0 1 34535 0 0
1 1 2 26948 0 0
4 2 0 32799 1 1
3 0 0 71839 1 1
1 1 3 91473 0 0
2 3 4 -18402 1 0
4 1 4 95857 0 2
2 3 0 -25019 0 0
3 3 0 65530 0 2
1 2 1 -25521 1 0
4 1 1 43295 0 1
3 3 1 68152 1 3
4 4 4 44986 1 3
3 0 1 -40830 1 1
0 1 2 25665 0 0
4 1 1 14750 0 1
1 0 3 86055 1 1
4 0 0 -31852 0 1
4 4 2 -10485 1 3
3 1 3 -529 0 2
1 3 2 70010 1 1
2 1 0 -10943 1 0
2 0 3 65172 0 0
0 4 1 -42662 0 0
3 4 3 35045 0 2
4 0 4 82051 1 3
0 4 3 31826 0 0
0 0 3 7118 1 0
4 0 0 98063 0 1
4 1 3 20582 0 2
1 2 1 -17513 0 0
1 2 0 -18186 0 0
4 3 4 -6597 1 3
0 4 0 -9348 0 0
2 3 3 4548 1 0
3 1 2 13385 1 1
1 1 4 56229 1 1
4 4 3 89121 0 2
2 0 4 -14278 0 0
3 1 1 89169 0 1
2 2 4 -8985 0 0
3 1 2 -35027 1 1
1 3 0 80149 1 1
2 1 4 28127 1 0
3 2 3 44815 1 3
1 4 2 -29155 0 0
1 2 0 21185 0 0
3 0 3 -29256 1 3
4 0 2 -47882 1 1
4 1 4 -28973 1 3
3 4 2 -27394 0 2
1 3 2 67147 0 0
4 4 3 -18274 1 3
2 4 3 97913 1 1
1 3 1 -35195 1 0
3 4 1 -14257 1 3
1 1 4 -46880 0 0
0 0 2 -7560 0 0
4 3 3 19787 0 2
0 4 1 59531 1 1
2 1 0 34769 0 0
3 0 1 65504 1 1
4 3 2 30419 0 2
3 4 0 54478 0 2
1 4 3 43117 1 1
2 4 2 3926 0 0
4 1 3 70985 0 2
2 2 1 21560 0 0
3 3 3 -42702 0 2
2 4 4 -27002 1 0
1 2 3 -23283 0 0
3 3 3 29033 0 2
0 1 3 -30175 0 0
1 1 1 -44066 0 0
4 3 2 24977 0 2
3 3 4 -10608 0 2
1 3 3 24173 1 0
4 0 1 38159 0 1
3 0 1 -563 0 1
2 1 0 63453 1 1
2 2 1 97879 0 0
1 1 1 81654 0 0
0 0 4 48223 0 0
2 4 4 -43672 0 0
1 0 4 46901 1 1
2 4 1 -20587 0 0
1 4 4 71329 1 1
4 3 1 -23547 0 2
3 1 1 -9229 1 1
0 0 0 10533 0 0
1 4 3 66420 1 1
3 2 1 7402 1 1
4 4 3 -37988 1 3
4 4 3 65608 1 3
3 4 1 -40071 1 3
2 2 2 -47619 1 0
4 4 2 22606 1 3
4 2 3 12776 0 2
3 2 2 61184 0 1
2 1 2 93895 0 0
1 2 0 -34382 1 0
0 0 4 -38009 0 0
4 3 1 -31 0 2
4 0 3 24478 0 2
4 2 4 -3499 0 2
3 4 2 53293 1 3
4 2 0 60919 0 1
1 3 3 35082 1 0
0 2 2 96348 1 1
1 3 4 -48188 1 0
1 0 2 -13938 0 0
2 3 1 -41352 0 0
4 3 4 67395 1 3
1 1 4 57544 1 1
3 0 4 79297 1 3
3 4 1 7935 0 2
1 3 2 71800 0 0
3 4 3 -23352 1 3
2 1 1 7054 1 0
4 3 3 18713 0 2
1 0 3 -26505 1 0
1 4 2 -20091 1 0
4 2 3 -32252 0 2
2 1 2 -31125 0 0
0 2 0 87767 1 1
0 0 2 34450 0 0
1 0 1 60331 0 0
3 1 4 51359 1 3
1 4 2 -18095 1 0
1 1 4 95167 1 1
4 4 1 -38738 0 2
3 1 4 26016 0 2
1 2 4 22281 1 0
2 3 0 -16284 1 0
3 4 3 -46452 1 3
4 0 2 73751 1 1
1 4 3 33968 1 0
0 0 4 77407 1 1
0 0 1 17591 1 0
3 3 0 69475 1 3
2 2 0 93591 0 0
2 3 1 2795 1 0
1 4 2 39810 0 0
4 4 3 -14011 0 2
2 4 4 9047 1 0
3 2 4 65158 0 2
4 3 3 68524 0 2
4 3 4 70541 1 3
4 0 0 64879 0 1
1 4 2 -41002 1 0
0 2 2 28491 1 0
2 1 0 -37930 0 0
4 3 2 23761 1 3
1 0 0 45121 0 0
3 3 2 57055 1 3
0 2 1 43246 0 0
0 2 4 -37074 0 0
3 1 4 37189 0 2
2 3 4 46918 0 0
2 2 3 89922 1 1
4 0 3 97432 0 2
1 4 4 -39626 1 0
4 0 3 87674 0 2
0 3 1 40186 1 1
4 4 1 -39848 1 3
2 0 2 -38115 1 0
3 4 2 32127 1 3
0 4 2 2090 1 0
4 1 2 88905 1 1
0 0 2 -21551 0 0
4 2 2 97070 1 1
1 1 0 94356 0 0
4 2 1 -28333 0 1
0 4 0 25261 0 0
3 3 0 1050 1 3
1 4 4 84329 1 1
2 3 0 -39175 1 0
2 0 2 11405 0 0
0 4 1 81897 1 1
3 2 3 44667 0 2
3 2 2 -34913 0 1
3 0 1 -8297 0 1
4 1 4 82798 0 2
4 1 4 63098 1 3
4 1 3 11822 0 2
2 4 4 84639 1 1
1 4 1 -8372 0 0
0 3 4 35371 0 0
0 2 0 89819 0 0
4 1 3 96256 1 3
3 3 4 -24601 0 2
4 1 4 31259 1 3
2 0 3 -1577 1 0
4 1 3 21487 0 2
4 4 4 95462 1 3
2 0 1 -9711 1 0
3 3 1 -33905 0 2
1 2 2 96376 0 0
0 4 2 58897 1 1
3 2 3 -18727 0 2
0 1 1 28577 1 0
1 1 4 -23453 0 0
0 3 0 -46875 0 0
0 2 0 -20027 0 0
3 0 4 4349 0 2
3 3 2 45332 0 2
2 0 0 59040 0 0
1 0 2 -32974 0 0
0 2 0 2115 0 0
0 3 1 67642 1 1
3 3 2 72920 1 3
2 1 1 -46287 0 0
2 2 3 6757 0 0
2 2 1 73935 1 1
4 0 3 -41711 0 2
2 0 0 80273 0 0
1 0 1 -17525 1 0
3 2 1 -2305 1 1
2 0 4 30640 1 0
3 0 2 80201 1 1
0 3 1 84779 1 1
2 4 2 -34222 1 0
2 4 4 -18802 1 0
4 3 2 94785 0 2
3 1 3 -22916 0 2
3 4 1 -14747 0 2
4 1 3 57247 0 2
3 2 3 79775 1 3
2 4 0 41343 1 1
0 0 4 43749 0 0
4 1 0 -35196 0 1
1 1 1 92180 0 0
4 4 2 -21296 0 2
0 2 3 78479 0 0
0 4 3 22292 1 0
2 0 4 -22993 1 0
2 0 2 18881 1 0
3 0 4 -20284 1 3
2 0 2 84465 0 0
2 0 1 27894 1 0
1 0 4 77309 1 1
3 2 0 -14097 1 1
0 3 0 -3777 0 0
3 1 4 56746 0 2
1 3 0 22850 0 0
0 3 3 62157 1 1
0 3 4 29621 0 0
1 0 1 26988 0 0
1 3 1 -25731 1 0
3 0 0 81351 0 1
3 3 1 52989 1 3
4 0 1 76404 1 1
1 4 2 -1461 0 0
2 2 3 16838 0 0
3 0 1 15541 0 1
1 1 0 95905 0 0
4 4 1 3982 0 2
0 0 3 -35565 0 0
4 3 3 -32753 1 3
2 4 4 -12675 1 0
2 4 1 45430 1 1
1 0 2 -11542 1 0
1 2 2 -49610 0 0
0 2 4 76188 1 1
1 0 1 -25792 1 0
1 3 3 70431 0 0
1 1 1 53647 1 1
3 4 3 16727 1 3
1 3 2 41678 1 1
2 4 3 69838 0 0
3 0 2 83968 1 1
1 3 0 46963 1 1
2 0 3 81060 1 1
3 4 0 -45548 0 2
0 2 3 -9398 0 0
1 3 2 16094 0 0
1 0 2 -26285 1 0
4 2 1 -40596 0 1
4 4 4 -33311 0 2
2 2 1 59541 0 0
2 3 3 -12588 1 0
2 3 3 -21282 0 0
1 2 2 -26489 0 0
0 3 1 10754 1 0
1 1 1 66408 1 1
0 4 2 77689 1 1
1 2 4 79422 0 0
0 1 1 1439 1 0
1 3 1 -2969 1 0
3 2 3 -47821 1 3
3 3 0 39882 1 3
4 3 4 37471 0 2
3 0 2 91593 1 1
0 4 1 15164 0 0
1 0 3 28338 1 0
0 0 0 48409 0 0
0 1 3 -1059 1 0
1 2 0 27626 1 0
3 1 1 52765 1 1
1 3 1 46622 0 0
1 1 3 12754 1 0
4 2 0 30162 1 1
0 4 2 43675 1 1
3 4 1 10549 1 3
1 2 0 86471 0 0
2 0 3 66109 0 0
1 4 4 -39528 1 0
3 1 2 35496 0 1
1 0 4 -23319 1 0
0 4 2 49111 0 0
4 3 4 76529 0 2
4 0 2 2906 0 1
1 2 2 81919 0 0
1 1 4 85501 1 1
3 4 3 -46762 0 2
0 4 2 14011 1 0
1 0 1 92425 1 1
2 1 2 41618 0 0
3 3 0 67140 0 2
2 4 1 6900 1 0
4 1 2 84868 1 1
0 0 1 -4343 0 0
0 3 3 49611 1 1
0 0 1 57737 1 1
4 1 1 93962 1 1
3 4 1 68096 1 3
4 0 2 69093 0 1
4 3 0 32265 1 3
4 4 0 -2824 1 3
1 3 4 84209 1 1
4 3 3 5102 1 3
0 1 3 -42088 0 0
2 4 1 17935 1 0
1 2 4 45964 1 1
1 1 0 -32743 1 0
0 1 0 1666 0 0
1 1 3 77162 0 0
1 0 3 2098 1 0
4 2 0 -34969 1 1
3 3 4 84714 1 3
0 2 4 -28844 1 0
3 4 3 -28580 1 3
1 1 1 -30306 1 0
1 2 2 95925 0 0
3 3 4 -48072 1 3
1 4 3 11503 1 0
1 2 3 -47518 1 0
0 3 3 94246 1 1
0 0 3 83325 0 0
2 1 3 -5340 1 0
3 1 0 84008 1 1
0 3 1 -16192 1 0
0 3 4 2369 0 0
2 2 4 10453 0 0
0 4 4 75988 0 0
4 1 0 54292 0 1
2 1 1 10902 0 0
3 2 2 45311 0 1
0 3 1 -39795 0 0
1 1 2 -4018 0 0
4 4 2 40302 0 2
2 0 0 85687 0 0
3 2 3 77454 0 2
2 0 4 59697 1 1
0 1 2 42632 1 1
0 4 1 63455 0 0
1 1 1 -18236 1 0
0 1 4 55114 1 1
0 2 0 64350 0 0
4 4 4 60694 1 3
0 4 0 -12345 0 0
1 2 0 2662 0 0
3 1 0 -7735 1 1
2 4 0 75805 1 1
2 0 1 82640 1 1
0 1 2 76707 0 0
2 2 1 1458 1 0
1 1 3 -36084 1 0
3 2 3 -10206 1 3
1 4 3 72016 1 1
2 3 1 -171 1 0
1 1 3 86820 0 0
4 2 2 88919 1 1
4 3 1 31297 0 2
4 1 1 43950 0 1
0 4 2 -2038 1 0
3 0 0 -48109 0 1
0 2 3 7297 0 0
3 1 1 59800 0 1
3 1 3 57221 1 3
0 3 1 41256 1 1
1 4 4 -25233 1 0
3 4 1 -15417 1 3
0 1 1 -6993 0 0
4 3 1 35641 1 3
0 2 0 50807 1 1
1 3 4 -1411 0 0
3 1 3 -48286 0 2
4 2 3 21052 1 3
0 3 4 -9437 1 0
3 0 3 -22180 0 2
2 0 3 75 0 0
4 1 4 -38665 1 3
0 2 0 -19915 1 0
1 2 4 -25526 0 0
0 3 3 91544 1 1
2 4 1 -46135 1 0
1 4 3 36981 0 0
3 0 4 6051 1 3
0 4 0 60718 0 0
0 2 4 99586 0 0
2 3 1 23010 0 0
3 4 4 -47417 0 2
0 4 3 93705 1 1
2 1 2 79307 0 0
2 0 2 56178 0 0
3 2 4 43642 1 3
2 1 3 70962 1 1
2 0 2 72307 1 1
4 3 2 46589 0 2
1 4 3 -23624 0 0
4 3 4 -42542 1 3
0 0 2 -18942 1 0
1 3 4 31983 0 0
0 2 1 26238 1 0
0 4 3 -1303 0 0
1 3 0 42684 0 0
0 3 1 84824 0 0
1 2 0 -21146 0 0
4 1 1 53215 1 1
3 0 2 -46251 1 1
4 3 3 83994 0 2
3 3 1 26495 1 3
4 3 0 -13672 0 2
2 1 4 55085 0 0
4 1 0 62623 1 1
1 2 4 -19662 1 0
2 3 4 97582 1 1
3 4 3 -28851 1 3
3 0 3 70705 1 3
1 3 0 -24165 1 0
0 4 1 66642 1 1
1 4 2 15554 1 0
0 0 2 16460 1 0
2 1 0 -48187 1 0
3 2 0 41270 1 1
0 2 0 96795 1 1
4 1 0 48108 1 1
1 1 0 -28943 0 0
2 3 0 49012 1 1
0 3 2 -22721 1 0
0 4 2 7924 0 0
3 2 4 -13317 1 3
4 0 2 12713 0 1
0 0 3 8354 1 0
1 1 3 -7199 0 0
1 1 1 42199 0 0
3 3 1 -4553 1 3
2 1 0 77674 1 1
0 3 0 80821 0 0
0 4 0 -46880 0 0
2 0 1 99077 1 1
2 2 2 46815 0 0
4 3 2 -16480 1 3
4 1 3 -36981 1 3
2 1 2 51051 0 0
4 1 0 54914 1 1
1 2 2 85923 0 0
4 3 2 5062 1 3
0 2 2 73045 0 0
2 3 1 -23135 1 0
1 1 4 57152 0 0
0 4 0 99958 0 0
4 3 0 30904 1 3
0 0 4 -3432 0 0
1 4 4 65106 0 0
2 0 0 63162 1 1
1 3 1 60811 1 1
4 1 4 44657 1 3
3 1 0 61189 0 1
2 1 3 -30451 0 0
4 4 1 11689 1 3
0 1 3 -35803 0 0
3 2 3 41937 1 3
3 2 2 83758 0 1
2 1 0 20749 1 0
2 0 1 40142 1 1
3 3 4 47197 1 3
2 2 4 6396 1 0
3 2 0 -10978 0 1
0 2 1 -32056 0 0
1 4 1 46593 0 0
1 2 4 7621 0 0
4 4 0 50985 0 2
2 0 1 -26958 1 0
4 2 4 59433 0 2
4 0 1 73739 0 1
0 4 1 -28457 1 0
0 1 4 42264 1 1
1 0 2 17409 0 0
4 1 2 7376 0 1
3 2 2 -5272 0 1
1 2 3 20908 1 0
2 2 3 93253 1 1
2 1 2 24665 0 0
3 3 0 50778 0 2
3 2 2 -10308 1 1
1 0 2 -44372 0 0
3 1 1 81916 0 1
2 2 1 20279 0 0
4 0 4 -36768 0 2
3 1 2 91132 1 1
0 3 1 -37738 1 0
1 4 0 4215 1 0
0 3 1 11799 1 0
2 0 4 -21798 0 0
1 3 4 -8549 0 0
1 3 3 24154 1 0
0 4 4 5565 1 0
3 4 2 925 1 3
4 2 0 -30997 1 1
1 1 2 -6772 0 0
2 0 2 18249 1 0
4 3 3 67081 1 3
0 4 3 89906 0 0
2 2 3 78867 1 1
0 3 3 -15983 1 0
2 0 0 -23670 0 0
1 1 2 -45665 0 0
4 1 1 -29021 0 1
1 2 3 3324 0 0
4 1 2 61201 0 1
1 1 0 -43765 1 0
3 3 3 64579 0 2
0 1 3 96940 0 0
1 1 1 10843 0 0
2 3 4 85574 0 0
2 1 4 67538 0 0
4 3 1 64765 0 2
2 4 3 99122 0 0
4 3 1 -8736 1 3
3 0 2 79502 0 1
1 0 3 -16220 0 0
0 0 0 54082 0 0
4 0 1 9038 1 1
2 0 0 63221 1 1
4 3 2 74242 0 2
4 4 2 -25740 0 2
4 0 0 20669 0 1
2 4 2 -5347 0 0
4 0 2 22102 1 1
1 2 3 96829 1 1
4 4 2 43126 1 3
0 1 4 14355 1 0
0 2 3 -12538 1 0
1 2 2 -30516 0 0
0 4 1 -43608 1 0
2 1 3 68669 1 1
1 3 4 37239 0 0
0 3 1 -49605 1 0
1 3 4 48029 0 0
0 2 2 41701 0 0
4 2 4 18421 1 3
3 2 2 54344 0 1
4 3 1 79002 1 3
4 3 0 -39239 1 3
2 1 3 64771 1 1
4 1 3 76708 1 3
0 0 0 -49677 1 0
0 4 3 64162 1 1
0 3 1 -10900 1 0
3 3 4 -23216 0 2
0 4 3 26557 0 0
2 1 2 21198 0 0
4 3 3 48527 0 2
2 2 4 41680 1 1
0 1 1 18524 1 0
3 1 0 -6463 1 1
0 2 2 45422 1 1
2 0 1 1538 1 0
2 4 0 36388 1 0
0 1 4 -32416 1 0
2 2 3 12736 1 0
4 3 4 81565 1 3
0 0 0 49139 0 0
2 1 1 -38244 0 0
0 1 3 47256 0 0
0 4 1 -11348 0 0
0 4 3 -5105 0 0
3 4 2 -616 0 2
2 3 1 21870 1 0
0 1 1 -15077 1 0
1 1 4 -19404 0 0
1 2 2 7953 1 0
4 3 1 15399 1 3
1 2 2 -13646 0 0
4 2 1 -26179 1 1
4 0 0 80720 1 1
3 1 4 -32411 0 2
3 0 0 90957 0 1
1 3 0 54625 0 0
3 3 2 96179 0 2
4 4 0 69879 0 2
0 4 4 21404 1 0
3 2 3 79782 0 2
0 2 2 92684 1 1
4 4 0 47824 1 3
0 2 3 83664 0 0
4 2 3 -25485 0 2
2 1 4 35635 0 0
4 0 4 9303 0 2
4 4 2 94920 1 3
3 3 1 -9881 0 2
0 4 2 66231 1 1
4 2 2 49359 1 1
0 3 3 6370 1 0
2 4 3 -23762 1 0
1 0 4 72948 1 1
3 2 4 -11369 1 3
2 4 2 38285 1 0
3 3 3 25221 0 2
3 2 1 50689 0 1
1 2 2 47018 0 0
3 4 1 30475 0 2
4 4 3 9790 0 2
1 1 0 -13629 0 0
4 0 0 -5024 1 1
2 1 0 51093 1 1
3 3 4 -32577 1 3
3 0 3 9035 0 2
3 4 0 -3206 0 2
3 1 2 15533 1 1
0 4 3 97688 1 1
2 2 1 99577 1 1
0 1 0 21628 1 0
4 0 0 37128 1 1
4 1 4 30979 0 2
0 1 0 77493 0 0
0 0 2 96404 1 1
1 3 3 -32949 1 0
4 4 3 14347 1 3
3 1 2 56584 1 1
2 3 2 28666 1 0
2 1 4 -18487 1 0
3 2 0 5933 1 1
3 2 4 86106 1 3
2 0 4 -9536 1 0
0 3 0 -8568 0 0
4 3 0 99648 1 3
1 0 3 4234 0 0
3 0 2 17465 1 1
4 2 1 95538 0 1
0 3 0 87208 1 1
0 0 3 66514 1 1
2 3 2 70745 1 1
1 4 1 15562 0 0
2 4 2 -36310 0 0
0 3 3 49411 0 0
4 1 1 -17861 0 1
3 0 3 15024 1 3
1 3 4 24145 0 0
3 2 4 53627 1 3
3 3 3 -38668 0 2
2 2 0 -33783 1 0
4 3 0 14870 0 2
4 3 0 -28643 0 2
1 0 4 -42819 0 0
2 3 2 29330 0 0
4 0 1 -15091 1 1
0 3 4 -2389 1 0
2 1 3 -18349 1 0
0 2 0 -23783 0 0
3 1 1 68529 0 1
2 3 4 -44973 0 0
0 2 1 64938 0 0
3 0 2 -5764 1 1
0 2 0 82454 1 1
2 4 3 -44381 1 0
3 0 4 -25528 0 2
3 0 3 -13380 0 2
2 4 3 53009 0 0
3 4 3 -7938 1 3
3 4 0 77898 1 3
4 4 2 -9476 0 2
4 2 0 -15666 0 1
2 2 1 52862 0 0
1 3 4 32210 1 0
0 4 4 23329 1 0
0 4 2 21851 0 0
0 1 4 -14614 1 0
2 2 1 87792 0 0
2 2 3 53026 1 1
3 4 0 -30888 1 3
0 4 4 38498 1 0
2 2 3 71569 0 0
1 0 3 98359 0 0
2 3 2 4151 0 0
1 3 0 903 1 0
4 3 0 69061 0 2
4 2 2 -19583 1 1
4 4 1 -1434 0 2
0 4 3 11269 1 0
3 4 1 -2674 1 3
1 3 0 -44827 1 0
3 3 0 55509 1 3
0 4 0 97046 1 1
0 4 0 -25237 1 0
2 4 3 89409 0 0
1 1 0 58852 0 0
3 0 1 42314 1 1
2 3 1 75573 0 0
1 1 0 7051 0 0
0 2 2 20804 0 0
4 1 1 37776 1 1
3 0 4 63822 0 2
4 3 4 -26561 0 2
0 0 4 94915 1 1
3 1 0 -7035 1 1
1 3 1 -21566 0 0
2 2 0 -25422 0 0
0 1 1 -2619 0 0
0 2 0 78020 1 1
